agenda_date,RIN,agency_code,agency_name,department_code,department_name,rule_title,abstract,priority,RIN_status,rule_stage,major,CFR,legal_authority,regulatory_flexibility_analysis,legal_deadline1,legal_deadline2,legal_deadline3,legal_deadline4,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25,action26,action27,action28,action29,action30,action31,action32,action33,action34,action35,action36,action37,action38,action39,action40,action41,action42,action43,action44,action45,action46,action47,action48,action49,action50,action51,action52,action53,action54,action55,action56,action57,action58,action59,action60,action61,action62,action63,action64,action65,action66,action67,action68,action69,action70,action71,action72,action73,action74,action75,action76,action77,action78,action79,action80,action81,action82,action83,action84,action85,action86,action87,action88,action89,action90,action91,action92,action93,action94,action95,action96,action97,action98,action99,action100,action101,action102,action103,action104,action105,action106,action107,action108,action109,action110,action111,action112,action113,action114,action115,action116,action117,action118,action119,action120,action121,action122,action123,action124,action125,action126,action127,action128,action129,action130,action131,action132,action133,action134,action135,action136,action137,action138,action139,action140,action141,action142,action143,action144,action145,action146,action147,action148,action149,action150,action151,action152,action153,action154,action155,action156,action157,action158,action159,action160,action161,action162,action163,action164,action165,action166,action167,action168,action169,action170,action171,action172,action173,action174,action175,action176,action177,action178,action179,action180,action181,action182,action183,action184,action185,action186,action187,action188
202404,1018-BG07,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Endangered Species Status for the Longfin Smelt,FWS will make a final determination on the proposed rule to list the longfin smelt ( Spirinchus thaleichthys ) as an endangered species under the Endangered Species Act. This fish is found in California. FWS will propose the designation of critical habitat for the longfin smelt in a separate rulemaking (RIN 1018-BH71).,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,Judicial; NPRM; 09/30/2022; N/A,,,,NPRM; 10/07/2022; 87 FR 60957,NPRM Comment Period End; 12/06/2022,NPRM Comment Period Reopened; 02/27/2023; 88 FR 12304,NPRM Comment Period Reopened End; 03/29/2023,Final Action; 08/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG11,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Listing Determination and Critical Habitat Designation for the Rio Grande Mussels,"FWS will make a final determination on our proposal to list two Rio Grande mussels, the Mexican fawnsfoot ( Truncilla cognata ) and Salina mucket ( Potamilus metnecktayi ), as endangered species under the Endangered Species Act. These mussels are found in Texas. FWS will also make a final determination on our proposal to designate critical habitat for these species.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,,,,,NPRM; 07/25/2023; 88 FR 47952,NPRM Comment Period End; 09/25/2023,Final Action; 09/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG15,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Endangered Species Status for the Tricolored Bat,"FWS will make a final determination on our proposal to list the tricolored bat ( Perimyotis subflavus ) as an endangered species under the Endangered Species Act. This bat is found throughout much of the United States and parts of Canada, Mexico, Guatemala, Honduras, Belize, and Nicaragua.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,Judicial; NPRM; 09/30/2022; N/A,,,,NPRM; 09/14/2022; 87 FR 56381,NPRM Comment Period End; 11/14/2022,Final Action; 07/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG18,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Threatened Species Status With Section 4(d) Rule for Brawleys Fork Crayfish and Critical Habitat Designation,FWS will make a final determination on our proposal to list the Brawleys Fork crayfish ( Cambarus williami ) as a threatened species with a rule issued under section 4(d) of the Endangered Species Act. This crayfish is found in Tennessee. FWS will also make a final determination on our proposal to designate critical habitat for Brawleys Fork crayfish.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,,,,,NPRM; 08/22/2023; 88 FR 57292,Correction; 09/08/2023; 88 FR 62043,NPRM Comment Period End; 10/23/2023,Final Action; 09/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG24,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Threatened Species Status with Section 4(d) Rule for Florida Keys Mole Skink and Designation of Critical Habitat ,"FWS will make a final determination on our proposal to list the Florida Keys mole skink ( Plestiodon egregius egregius ) as a threatened species under the Endangered Species Act (Act), with a rule issued under section 4(d) of the Act. We will also make a final determination on our proposal to designate critical habitat for the Florida Keys mole skink.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,Judicial; NPRM; 09/15/2022; N/A,,,,NPRM; 09/27/2022; 87 FR 58648,NPRM Comment Period End; 11/28/2022,NPRM Comment Period Extended; 11/28/2022; 87 FR 72958,NPRM Comment Period Extended End; 01/12/2023,Final Action; 07/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG31,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Threatened Species Status with Section 4(d) Rule for the Miami Cave Crayfish,FWS will make a final determination on our proposal to list the Miami cave crayfish ( Procambarus milleri ) as a threatened species with a rule issued under section 4(d) of the Endangered Species Act. This crayfish is found in Florida.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,,,,,NPRM; 09/20/2023; 88 FR 64856,Correction; 09/22/2023; 88 FR 65356,NPRM Comment Period End; 11/20/2023,Final Action; 09/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG35,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Endangered Species Status for Quitobaquito Tryonia and Designation of Critical Habitat,FWS will make a final determination on our proposal to list the Quitobaquito tryonia ( Tryonia quitobaquitae ) as an endangered species under the Endangered Species Act. This snail is found in Arizona. FWS will also make a final determination on our proposal to designate critical habitat for the Quitobaquito tryonia.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,,,,,NPRM; 09/13/2023; 88 FR 62725,NPRM Comment Period End; 11/13/2023,Final Action; 09/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG38,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Listing Determination and Critical Habitat Designation for the Salamander Mussel,FWS will make a final determination on our proposal to list the salamander mussel ( Simpsonaias ambigua ) as an endangered species under the Endangered Species Act. This mussel is found in the Mississippi and Ohio river drainages of the central United States. FWS will also make a final determination on our proposal to designate critical habitat for the salamander mussel.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,,,,,NPRM; 08/22/2023; 88 FR 57224,NPRM Comment Period End; 10/23/2023,Final Action; 09/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG40,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Threatened Species Status With Section 4(d) Rule for the Short-Tailed Snake,FWS will make a final determination on our proposal to list the short-tailed snake ( Stilosoma extenuatum ) as a threatened species with a rule issued under section 4(d) of the Endangered Species Act (Act). This snake is found in Florida. FWS determined that designating critical habitat for the short-tailed snake is prudent but was not determinable at the time of publication of the proposed rule. The Act allows the Service an additional year to publish a critical habitat designation that is not determinable at the time of listing.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,,,,,NPRM; 10/03/2023; 88 FR 68070,NPRM Comment Period End; 12/04/2023,Final Action; 10/00/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202404,1018-BG53,1018,United States Fish and Wildlife Service,1000,Department of the Interior,Endangered and Threatened Wildlife and Plants; Threatened Species Status With a Section 4(d) Rule for the Pygmy Three-Toed Sloth,FWS will make a final determination on our proposal to list the pygmy three-toed sloth ( Bradypus pygmaeus ) as a threatened species with a section 4(d) rule under the Endangered Species Act. The pygmy three-toed sloth is found in Panama.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,No,50 CFR 17,16 U.S.C. 1531 et seq.,No,,,,,NPRM; 03/26/2024; 89 FR 20928,NPRM Comment Period End; 05/28/2024,Final Action; 03/00/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
